,City,Variety,Month,Package,Low Price,High Price,Price
489,BOSTON,PIE TYPE,9,bushel cartons,20.0,24.0,22.0
490,BOSTON,PIE TYPE,9,bushel cartons,20.0,24.0,22.0
534,BOSTON,MINIATURE,9,1/2 bushel cartons,15.0,18.0,33.0
535,BOSTON,MINIATURE,9,1/2 bushel cartons,15.0,18.0,33.0
536,BOSTON,MINIATURE,10,1/2 bushel cartons,15.0,18.0,33.0
537,BOSTON,MINIATURE,10,1/2 bushel cartons,15.0,18.0,33.0
538,BOSTON,MINIATURE,10,1/2 bushel cartons,15.0,18.0,33.0
539,BOSTON,MINIATURE,10,1/2 bushel cartons,15.0,18.0,33.0
540,BOSTON,MINIATURE,10,1/2 bushel cartons,15.0,18.0,33.0
541,BOSTON,MINIATURE,10,1/2 bushel cartons,15.0,18.0,33.0
542,BOSTON,MINIATURE,10,1/2 bushel cartons,15.0,18.0,33.0
543,BOSTON,MINIATURE,10,1/2 bushel cartons,15.0,18.0,33.0
544,BOSTON,MINIATURE,10,1/2 bushel cartons,15.0,18.0,33.0
545,BOSTON,MINIATURE,10,1/2 bushel cartons,15.0,18.0,33.0
546,BOSTON,MINIATURE,11,1/2 bushel cartons,15.0,18.0,33.0
547,BOSTON,MINIATURE,11,1/2 bushel cartons,15.0,18.0,33.0
548,BOSTON,MINIATURE,9,1/2 bushel cartons,15.0,18.0,33.0
549,BOSTON,MINIATURE,9,1/2 bushel cartons,15.0,18.0,33.0
550,BOSTON,MINIATURE,10,1/2 bushel cartons,15.0,18.0,33.0
551,BOSTON,MINIATURE,10,1/2 bushel cartons,15.0,18.0,33.0
552,BOSTON,MINIATURE,10,1/2 bushel cartons,15.0,18.0,33.0
553,BOSTON,MINIATURE,10,1/2 bushel cartons,15.0,18.0,33.0
554,BOSTON,MINIATURE,10,1/2 bushel cartons,15.0,18.0,33.0
555,BOSTON,MINIATURE,10,1/2 bushel cartons,15.0,18.0,33.0
556,BOSTON,MINIATURE,10,1/2 bushel cartons,15.0,18.0,33.0
557,BOSTON,MINIATURE,10,1/2 bushel cartons,15.0,18.0,33.0
558,BOSTON,MINIATURE,10,1/2 bushel cartons,15.0,18.0,33.0
559,BOSTON,MINIATURE,10,1/2 bushel cartons,15.0,18.0,33.0
560,BOSTON,MINIATURE,11,1/2 bushel cartons,15.0,18.0,33.0
561,BOSTON,MINIATURE,11,1/2 bushel cartons,15.0,18.0,33.0
667,CHICAGO,PIE TYPE,9,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
668,CHICAGO,PIE TYPE,9,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
669,CHICAGO,PIE TYPE,9,1 1/9 bushel cartons,17.0,18.0,15.75
670,CHICAGO,PIE TYPE,10,1 1/9 bushel cartons,17.0,18.0,15.75
671,CHICAGO,PIE TYPE,10,1 1/9 bushel cartons,17.0,18.0,15.75
672,CHICAGO,PIE TYPE,10,1 1/9 bushel cartons,17.0,18.0,15.75
673,CHICAGO,PIE TYPE,10,1 1/9 bushel cartons,17.0,18.0,15.75
674,CHICAGO,PIE TYPE,10,1 1/9 bushel cartons,17.0,18.0,15.75
675,CHICAGO,PIE TYPE,10,1 1/9 bushel cartons,17.0,18.0,15.75
676,CHICAGO,PIE TYPE,10,1 1/9 bushel cartons,17.0,18.0,15.75
677,CHICAGO,PIE TYPE,10,1 1/9 bushel cartons,17.0,18.0,15.75
678,CHICAGO,PIE TYPE,10,1 1/9 bushel cartons,17.0,18.0,15.75
679,CHICAGO,PIE TYPE,10,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
680,CHICAGO,PIE TYPE,10,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
681,CHICAGO,PIE TYPE,10,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
682,CHICAGO,PIE TYPE,10,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
683,CHICAGO,PIE TYPE,10,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
684,CHICAGO,PIE TYPE,10,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
685,CHICAGO,PIE TYPE,11,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
686,CHICAGO,PIE TYPE,11,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
687,CHICAGO,PIE TYPE,11,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
688,CHICAGO,PIE TYPE,11,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
689,CHICAGO,PIE TYPE,11,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
690,CHICAGO,PIE TYPE,11,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
691,CHICAGO,PIE TYPE,11,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
692,CHICAGO,PIE TYPE,11,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
693,CHICAGO,PIE TYPE,11,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
694,CHICAGO,PIE TYPE,11,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
695,CHICAGO,PIE TYPE,11,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
696,CHICAGO,PIE TYPE,12,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
697,CHICAGO,PIE TYPE,12,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
698,CHICAGO,PIE TYPE,12,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
699,CHICAGO,PIE TYPE,12,1 1/9 bushel cartons,17.0,17.0,15.299999999999999
700,CHICAGO,PIE TYPE,8,1 1/9 bushel cartons,20.0,20.0,18.0
701,CHICAGO,PIE TYPE,9,1 1/9 bushel cartons,20.0,20.0,18.0
702,CHICAGO,PIE TYPE,9,1 1/9 bushel cartons,18.0,18.0,16.2
703,CHICAGO,PIE TYPE,9,1 1/9 bushel cartons,20.0,20.0,18.0
704,CHICAGO,PIE TYPE,9,1 1/9 bushel cartons,18.0,18.0,16.2
705,CHICAGO,PIE TYPE,9,1 1/9 bushel cartons,18.0,20.0,17.099999999999998
706,CHICAGO,PIE TYPE,9,1 1/9 bushel cartons,17.0,19.0,16.2
707,CHICAGO,PIE TYPE,9,1 1/9 bushel cartons,18.0,20.0,17.099999999999998
708,CHICAGO,PIE TYPE,9,1 1/9 bushel cartons,17.0,19.0,16.2
709,CHICAGO,PIE TYPE,9,1 1/9 bushel cartons,18.0,20.0,17.099999999999998
710,CHICAGO,PIE TYPE,9,1 1/9 bushel cartons,17.0,19.0,16.2
711,CHICAGO,PIE TYPE,10,1 1/9 bushel cartons,22.5,22.5,20.25
712,CHICAGO,PIE TYPE,10,1 1/9 bushel cartons,22.5,22.5,20.25
713,CHICAGO,PIE TYPE,10,1 1/9 bushel cartons,22.5,22.5,20.25
714,CHICAGO,PIE TYPE,10,1 1/9 bushel cartons,22.5,22.5,20.25
715,CHICAGO,PIE TYPE,11,1 1/9 bushel cartons,22.5,22.5,20.25
716,CHICAGO,PIE TYPE,11,1 1/9 bushel cartons,22.5,22.5,20.25
717,CHICAGO,PIE TYPE,11,1 1/9 bushel cartons,22.5,22.5,20.25
718,CHICAGO,PIE TYPE,11,1 1/9 bushel cartons,22.5,22.5,20.25
719,CHICAGO,PIE TYPE,12,1 1/9 bushel cartons,22.5,22.5,20.25
760,CHICAGO,MINIATURE,9,1/2 bushel cartons,19.0,19.0,38.0
761,CHICAGO,MINIATURE,9,1/2 bushel cartons,18.0,20.0,38.0
762,CHICAGO,MINIATURE,9,1/2 bushel cartons,17.0,19.0,36.0
763,CHICAGO,MINIATURE,9,1/2 bushel cartons,19.0,19.0,38.0
764,CHICAGO,MINIATURE,9,1/2 bushel cartons,18.0,20.0,38.0
765,CHICAGO,MINIATURE,9,1/2 bushel cartons,17.0,19.0,36.0
766,CHICAGO,MINIATURE,9,1/2 bushel cartons,19.0,19.0,38.0
767,CHICAGO,MINIATURE,9,1/2 bushel cartons,18.0,20.0,38.0
768,CHICAGO,MINIATURE,9,1/2 bushel cartons,17.0,19.0,36.0
769,CHICAGO,MINIATURE,9,1/2 bushel cartons,17.0,17.0,34.0
770,CHICAGO,MINIATURE,9,1/2 bushel cartons,17.0,17.0,34.0
771,CHICAGO,MINIATURE,9,1/2 bushel cartons,17.0,17.0,34.0
772,CHICAGO,MINIATURE,9,1/2 bushel cartons,17.0,18.0,35.0
773,CHICAGO,MINIATURE,9,1/2 bushel cartons,17.0,18.0,35.0
774,CHICAGO,MINIATURE,10,1/2 bushel cartons,17.0,18.0,35.0
775,CHICAGO,MINIATURE,10,1/2 bushel cartons,17.0,18.0,35.0
776,CHICAGO,MINIATURE,10,1/2 bushel cartons,17.0,18.0,35.0
777,CHICAGO,MINIATURE,10,1/2 bushel cartons,17.0,18.0,35.0
778,CHICAGO,MINIATURE,10,1/2 bushel cartons,17.0,18.0,35.0
779,CHICAGO,MINIATURE,10,1/2 bushel cartons,17.0,18.0,35.0
780,CHICAGO,MINIATURE,10,1/2 bushel cartons,17.0,18.0,35.0
781,CHICAGO,MINIATURE,10,1/2 bushel cartons,17.0,18.0,35.0
782,CHICAGO,MINIATURE,10,1/2 bushel cartons,17.0,18.0,35.0
783,CHICAGO,MINIATURE,10,1/2 bushel cartons,17.0,18.0,35.0
784,CHICAGO,MINIATURE,10,1/2 bushel cartons,17.0,18.0,35.0
785,CHICAGO,MINIATURE,10,1/2 bushel cartons,17.0,18.0,35.0
786,CHICAGO,MINIATURE,10,1/2 bushel cartons,17.0,17.0,34.0
787,CHICAGO,MINIATURE,10,1/2 bushel cartons,17.0,17.0,34.0
788,CHICAGO,MINIATURE,10,1/2 bushel cartons,17.0,17.0,34.0
789,CHICAGO,MINIATURE,10,1/2 bushel cartons,17.0,17.0,34.0
790,CHICAGO,MINIATURE,10,1/2 bushel cartons,17.0,17.0,34.0
791,CHICAGO,MINIATURE,10,1/2 bushel cartons,17.0,17.0,34.0
792,CHICAGO,MINIATURE,10,1/2 bushel cartons,17.0,17.0,34.0
793,CHICAGO,MINIATURE,10,1/2 bushel cartons,17.0,17.0,34.0
794,CHICAGO,MINIATURE,11,1/2 bushel cartons,17.0,17.0,34.0
795,CHICAGO,MINIATURE,11,1/2 bushel cartons,17.0,17.0,34.0
796,CHICAGO,MINIATURE,11,1/2 bushel cartons,17.0,17.0,34.0
797,CHICAGO,MINIATURE,11,1/2 bushel cartons,17.0,17.0,34.0
798,CHICAGO,MINIATURE,11,1/2 bushel cartons,17.0,17.0,34.0
799,CHICAGO,MINIATURE,11,1/2 bushel cartons,17.0,17.0,34.0
800,CHICAGO,MINIATURE,11,1/2 bushel cartons,17.0,18.0,35.0
801,CHICAGO,MINIATURE,11,1/2 bushel cartons,17.0,17.0,34.0
802,CHICAGO,MINIATURE,11,1/2 bushel cartons,17.0,17.0,34.0
803,CHICAGO,MINIATURE,11,1/2 bushel cartons,17.0,17.0,34.0
804,CHICAGO,MINIATURE,11,1/2 bushel cartons,17.0,17.0,34.0
805,CHICAGO,MINIATURE,11,1/2 bushel cartons,17.0,18.0,35.0
806,CHICAGO,MINIATURE,9,1/2 bushel cartons,19.0,19.0,38.0
807,CHICAGO,MINIATURE,9,1/2 bushel cartons,17.0,19.0,36.0
808,CHICAGO,MINIATURE,9,1/2 bushel cartons,17.0,19.0,36.0
809,CHICAGO,MINIATURE,9,1/2 bushel cartons,17.0,19.0,36.0
936,COLUMBIA,PIE TYPE,9,1 1/9 bushel cartons,20.0,20.0,18.0
977,COLUMBIA,PIE TYPE,9,bushel cartons,19.0,19.0,19.0
978,COLUMBIA,PIE TYPE,10,bushel cartons,19.0,19.0,19.0
979,COLUMBIA,PIE TYPE,10,bushel cartons,19.0,19.0,19.0
980,COLUMBIA,PIE TYPE,10,bushel cartons,19.0,19.0,19.0
981,COLUMBIA,PIE TYPE,10,bushel cartons,19.0,19.0,19.0
982,COLUMBIA,PIE TYPE,10,bushel cartons,19.0,19.0,19.0
983,COLUMBIA,PIE TYPE,11,bushel cartons,19.0,19.0,19.0
984,COLUMBIA,PIE TYPE,9,bushel cartons,20.0,20.0,20.0
1019,COLUMBIA,MINIATURE,9,1/2 bushel cartons,18.0,18.0,36.0
1020,COLUMBIA,MINIATURE,9,1/2 bushel cartons,18.0,18.0,36.0
1021,COLUMBIA,MINIATURE,9,1/2 bushel cartons,18.0,18.0,36.0
1022,COLUMBIA,MINIATURE,10,1/2 bushel cartons,18.0,18.0,36.0
1023,COLUMBIA,MINIATURE,10,1/2 bushel cartons,18.0,18.0,36.0
1024,COLUMBIA,MINIATURE,10,1/2 bushel cartons,18.0,18.0,36.0
1025,COLUMBIA,MINIATURE,10,1/2 bushel cartons,18.0,18.0,36.0
1026,COLUMBIA,MINIATURE,10,1/2 bushel cartons,18.0,18.0,36.0
1027,COLUMBIA,MINIATURE,10,1/2 bushel cartons,18.0,18.0,36.0
1028,COLUMBIA,MINIATURE,10,1/2 bushel cartons,18.0,18.0,36.0
1029,COLUMBIA,MINIATURE,10,1/2 bushel cartons,18.0,18.0,36.0
1030,COLUMBIA,MINIATURE,10,1/2 bushel cartons,18.0,18.0,36.0
1031,COLUMBIA,MINIATURE,10,1/2 bushel cartons,18.0,18.0,36.0
1032,COLUMBIA,MINIATURE,10,1/2 bushel cartons,18.0,18.0,36.0
1033,COLUMBIA,MINIATURE,10,1/2 bushel cartons,18.0,18.0,36.0
1034,COLUMBIA,MINIATURE,10,1/2 bushel cartons,18.0,18.0,36.0
1035,COLUMBIA,MINIATURE,10,1/2 bushel cartons,18.0,18.0,36.0
1036,COLUMBIA,MINIATURE,10,1/2 bushel cartons,18.0,18.0,36.0
1037,COLUMBIA,MINIATURE,9,1/2 bushel cartons,17.0,17.0,34.0
1038,COLUMBIA,MINIATURE,9,1/2 bushel cartons,17.0,17.0,34.0
1039,COLUMBIA,MINIATURE,9,1/2 bushel cartons,17.0,17.0,34.0
1040,COLUMBIA,MINIATURE,9,1/2 bushel cartons,17.0,17.0,34.0
1041,COLUMBIA,MINIATURE,9,1/2 bushel cartons,17.0,17.0,34.0
1042,COLUMBIA,MINIATURE,9,1/2 bushel cartons,17.0,17.0,34.0
1043,COLUMBIA,MINIATURE,9,1/2 bushel cartons,15.0,15.0,30.0
1044,COLUMBIA,MINIATURE,9,1/2 bushel cartons,15.0,15.0,30.0
1045,COLUMBIA,MINIATURE,9,1/2 bushel cartons,15.0,15.0,30.0
1046,COLUMBIA,MINIATURE,9,1/2 bushel cartons,15.0,15.0,30.0
1047,COLUMBIA,MINIATURE,9,1/2 bushel cartons,15.0,15.0,30.0
1048,COLUMBIA,MINIATURE,9,1/2 bushel cartons,15.0,15.0,30.0
1049,COLUMBIA,MINIATURE,9,1/2 bushel cartons,21.0,21.0,42.0
1050,COLUMBIA,MINIATURE,9,1/2 bushel cartons,15.0,15.0,30.0
1051,COLUMBIA,MINIATURE,9,1/2 bushel cartons,15.0,15.0,30.0
1052,COLUMBIA,MINIATURE,9,1/2 bushel cartons,15.0,15.0,30.0
1056,COLUMBIA,MINIATURE,9,bushel cartons,28.0,28.0,28.0
1057,COLUMBIA,MINIATURE,9,bushel cartons,28.0,28.0,28.0
1058,COLUMBIA,MINIATURE,10,bushel cartons,30.0,30.0,30.0
1059,COLUMBIA,MINIATURE,10,bushel cartons,28.0,28.0,28.0
1060,COLUMBIA,MINIATURE,10,bushel cartons,28.0,28.0,28.0
1061,COLUMBIA,MINIATURE,10,bushel cartons,30.0,30.0,30.0
1062,COLUMBIA,MINIATURE,10,bushel cartons,28.0,28.0,28.0
1063,COLUMBIA,MINIATURE,10,bushel cartons,28.0,28.0,28.0
1064,COLUMBIA,MINIATURE,10,bushel cartons,30.0,30.0,30.0
1065,COLUMBIA,MINIATURE,10,bushel cartons,28.0,28.0,28.0
1066,COLUMBIA,MINIATURE,10,bushel cartons,28.0,28.0,28.0
1067,COLUMBIA,MINIATURE,10,bushel cartons,30.0,30.0,30.0
1068,COLUMBIA,MINIATURE,10,bushel cartons,28.0,28.0,28.0
1069,COLUMBIA,MINIATURE,10,bushel cartons,28.0,28.0,28.0
1070,COLUMBIA,MINIATURE,10,bushel cartons,30.0,30.0,30.0
1071,COLUMBIA,MINIATURE,10,bushel cartons,28.0,28.0,28.0
1072,COLUMBIA,MINIATURE,10,bushel cartons,28.0,28.0,28.0
1174,NEW YORK,PIE TYPE,9,1 1/9 bushel cartons,16.0,18.0,15.299999999999999
1175,NEW YORK,PIE TYPE,10,1 1/9 bushel cartons,16.0,18.0,15.299999999999999
1176,NEW YORK,PIE TYPE,10,1 1/9 bushel cartons,16.0,18.0,15.299999999999999
1177,NEW YORK,PIE TYPE,10,1 1/9 bushel cartons,16.0,18.0,15.299999999999999
1178,NEW YORK,PIE TYPE,10,1 1/9 bushel cartons,16.0,18.0,15.299999999999999
1179,NEW YORK,PIE TYPE,10,1 1/9 bushel cartons,16.0,18.0,15.299999999999999
1180,NEW YORK,PIE TYPE,11,1 1/9 bushel cartons,16.0,18.0,15.299999999999999
1212,NEW YORK,PIE TYPE,9,bushel cartons,18.0,20.0,19.0
1213,NEW YORK,PIE TYPE,9,bushel cartons,18.0,20.0,19.0
1214,NEW YORK,PIE TYPE,9,bushel cartons,18.0,20.0,19.0
1215,NEW YORK,PIE TYPE,9,bushel cartons,18.0,20.0,19.0
1220,NEW YORK,MINIATURE,9,1/2 bushel cartons,15.0,18.0,33.0
1221,NEW YORK,MINIATURE,9,1/2 bushel cartons,20.0,20.0,40.0
1222,NEW YORK,MINIATURE,10,1/2 bushel cartons,15.0,18.0,33.0
1223,NEW YORK,MINIATURE,10,1/2 bushel cartons,20.0,20.0,40.0
1224,NEW YORK,MINIATURE,10,1/2 bushel cartons,18.0,18.0,36.0
1225,NEW YORK,MINIATURE,10,1/2 bushel cartons,20.0,20.0,40.0
1226,NEW YORK,MINIATURE,10,1/2 bushel cartons,15.0,18.0,33.0
1227,NEW YORK,MINIATURE,10,1/2 bushel cartons,18.0,20.0,38.0
1228,NEW YORK,MINIATURE,10,1/2 bushel cartons,18.0,20.0,38.0
1229,NEW YORK,MINIATURE,10,1/2 bushel cartons,15.0,18.0,33.0
1230,NEW YORK,MINIATURE,10,1/2 bushel cartons,15.0,16.0,31.0
1231,NEW YORK,MINIATURE,10,1/2 bushel cartons,18.0,18.0,36.0
1232,NEW YORK,MINIATURE,11,1/2 bushel cartons,15.0,16.0,31.0
1233,NEW YORK,MINIATURE,11,1/2 bushel cartons,18.0,18.0,36.0
1234,NEW YORK,MINIATURE,10,1 1/9 bushel crates,18.0,18.0,16.2
1235,NEW YORK,MINIATURE,10,1 1/9 bushel crates,18.0,18.0,16.2
1236,NEW YORK,MINIATURE,9,1/2 bushel cartons,24.0,24.0,48.0
1237,NEW YORK,MINIATURE,9,1/2 bushel cartons,18.0,18.0,36.0
1238,NEW YORK,MINIATURE,9,1/2 bushel cartons,16.0,20.0,36.0
1239,NEW YORK,MINIATURE,9,1/2 bushel cartons,24.0,24.0,48.0
1240,NEW YORK,MINIATURE,9,1/2 bushel cartons,16.0,18.0,34.0
1241,NEW YORK,MINIATURE,9,1/2 bushel cartons,16.0,18.0,34.0
1242,NEW YORK,MINIATURE,9,bushel cartons,32.0,32.0,32.0
1243,NEW YORK,MINIATURE,10,1 1/9 bushel crates,18.0,18.0,16.2
1244,NEW YORK,MINIATURE,10,1 1/9 bushel crates,18.0,18.0,16.2
1245,NEW YORK,MINIATURE,10,1 1/9 bushel crates,18.0,18.0,16.2
1246,NEW YORK,MINIATURE,10,1 1/9 bushel crates,18.0,18.0,16.2
1257,DETROIT,PIE TYPE,10,1 1/9 bushel cartons,12.0,12.0,10.799999999999999
1258,DETROIT,PIE TYPE,10,1 1/9 bushel cartons,12.0,12.0,10.799999999999999
1259,DETROIT,PIE TYPE,11,1 1/9 bushel cartons,12.0,12.0,10.799999999999999
1260,DETROIT,PIE TYPE,9,1 1/9 bushel cartons,22.0,22.0,19.8
1261,DETROIT,PIE TYPE,9,1 1/9 bushel cartons,20.0,20.0,18.0
1262,DETROIT,PIE TYPE,9,1 1/9 bushel cartons,22.0,22.0,19.8
